Sexo;EstadoCivil;FechaNacimiento;Instruccion;CodigoBarrio;NumeroCargas;TipoActividad;NumeroCredito;Monto;NumeroCuotas;ValorCuota;FechaEntrega;Tasa;Calificacion;encaje;tipo;vivienda;totalActivo;totalPasivo;Ingresos;Gastos;MoraCredito
Femenino;Divorciado;13/4/1958;P;18095005;0;Independiente;4437;4500;30;150;17/4/2018;21.50;Microcrédito;107;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;30300;4785,25;720;565,97;0
Masculino;Casado;5/11/1950;P;18096403;0;--Seleccione Tipo Empleo--;2183;1000;12;83,33;7/5/2015;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Masculino;Casado;3/11/1966;P;18010316;0;Independiente;6150;1500;14;145,93;16/1/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;163325,73;0;2000;800;0
Masculino;Casado;3/1/1955;P;18096504;0;Independiente;4066;1000;12;83,33;5/11/2017;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;5000;0;2737;1509,86;0
Masculino;Casado;18/7/1951;S;18015809;0;--Seleccione Tipo Empleo--;6178;1000;15;103,57;23/1/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Soltero;25/3/1979;P;18096102;1;Independiente;7578;3000;30;134,75;19/5/2021;17.65;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;8000;0;1978;1088;1
Masculino;Casado;1/2/1960;S;18095006;0;Independiente;3483;2000;6;333,33;3/2/2017;21.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;42000;1;500;235;0
Femenino;Soltero;10/4/1971;P;18096706;4;Independiente;5412;2400;26;100;9/5/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;25500;2698,41;1026;491,2;0
Masculino;Casado;9/8/1966;P;18096501;0;Independiente;1882;1000;12;83,33;3/12/2014;22.50;Microcrédito;0;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;63000;2485,87;1140;557,66;1
Masculino;Casado;10/9/1980;S;18096108;1;Independiente;2565;3000;24;125;5/11/2015;20.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;2;1;2;1;0
Masculino;Casado;3/8/1978;P;18015808;0;Empleado Privado;5160;1000;6;166,67;18/2/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;21600;1;1210;698;0
Femenino;Casado;6/5/1990;P;18096306;3;Independiente;1512;450;8;56,25;2/6/2014;22.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;22500;1008;900;735,38;0
Femenino;Casado;25/1/1972;P;18096801;0;Independiente;1710;3500;28;125;9/9/2014;21.50;Microcrédito;0;Ordinario Cuota Fija;PRESTADA;25250;16227,06;1956,67;1228,97;1
Femenino;Casado;29/12/1991;S;18096702;3;Independiente;3657;7000;36;194,44;17/4/2017;21.00;Microcrédito;210;Ordinario Cuota Fija;PRESTADA;22000;11000;500;530,9;0
Masculino;Soltero;10/1/2000;U;18096707;0;Independiente;6504;600;10;66,23;3/7/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;1500;0,01;480;136;0
Masculino;Soltero;7/12/1983;P;17011102;2;Independiente;3717;2000;18;111,11;14/5/2017;21.00;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;31000;8500;2500;530;0
Femenino;Casado;26/2/1975;P;18015504;0;Independiente;6609;5000;36;182,15;11/8/2020;18.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;156100;6403,5;2608;1635,21;0
Masculino;Soltero;12/10/1999;P;18096804;0;Independiente;4877;1000;12;83,33;11/10/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;3000;1190;612;379,2;0
Femenino;Soltero;9/1/1999;S;18016507;0;Independiente;7660;10000;48;297,48;15/6/2021;19.75;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;4000;500;1200;503,5;0
Masculino;Casado;27/11/1978;P;18096603;2;--Seleccione Tipo Empleo--;1672;600;12;50;24/8/2014;22.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Casado;22/8/1991;S;18095008;2;Independiente;4857;2500;12;208,33;3/10/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;60000;15000;3350;575;0
Masculino;Soltero;15/4/1967;P;18096501;0;Independiente;8933;6300;36;146,88;17/8/2022;19.97;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;18500;0;1284;250;0
Femenino;Casado;11/6/1979;P;18015801;0;Independiente;826;7353,43;35;210,1;13/2/2013;23.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;80000;0,01;582;224,69;0
Femenino;Casado;14/5/1983;P;18096801;0;Independiente;9733;800;12;69,78;5/4/2023;20.09;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;55250;21343,51;2800;3248,43;0
Femenino;Casado;3/12/1956;P;18096901;0;Independiente;1733;500;10;50;17/9/2014;22.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;20375;0,01;1080;408;0
Masculino;Casado;21/7/1952;P;18095101;0;Independiente;5969;3700;27;206,2;14/11/2019;0.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;78000;9046;1492,5;1091,3;0
Femenino;Casado;26/4/1993;P;18096103;2;Independiente;8105;2000;24;96,55;14/12/2021;19.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;27000;19159,52;2560;1910,85;0
Masculino;Divorciado;30/7/1965;S;18096301;2;--Seleccione Tipo Empleo--;5572;500;8;62,5;2/7/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Soltero;10/4/1975;P;18096206;1;Empleado Privado;3025;2800;24;116,67;10/7/2016;21.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;24000;12580;500;35;1
Masculino;Soltero;15/4/1967;P;18096501;0;Independiente;2063;450;10;45;18/2/2015;22.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;18500;0;1284;250;0
Masculino;Casado;20/6/1994;S;18096804;0;--Seleccione Tipo Empleo--;1493;2000;24;83,33;25/5/2014;22.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Soltero;22/3/2000;S;18096606;0;Independiente;7443;1500;18;84,8;11/4/2021;19.75;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;2500;0;1250;900,46;0
Masculino;Soltero;10/3/1995;S;18035015;1;Empleado Privado;10056;600;12;50,83;11/7/2023;19.97;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;14000;9748,41;700;193,77;1
Femenino;Soltero;26/7/1995;U;18096604;0;Empleado Privado;5809;1200;14;85,71;13/9/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;NULL;23000;19432;1580;1367,2;1
Masculino;Soltero;12/9/1999;P;18015808;0;--Seleccione Tipo Empleo--;6913;6500;36;158,97;28/10/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Casado;27/8/1975;P;18096302;1;Independiente;2786;400;8;50;8/4/2016;23.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;31500;27616,73;2521,73;2051,04;0
Femenino;Casado;5/5/1962;N;18096606;0;Independiente;867;530;12;44,17;8/3/2013;23.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;64100;2794,22;760,67;514,78;0
Masculino;Casado;30/3/1959;P;18096302;0;Independiente;5800;2000;22;116,51;12/9/2019;21.50;Microcrédito;0;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;17000;0;800;430;0
Femenino;Soltero;3/7/1992;U;18096108;0;--Seleccione Tipo Empleo--;2895;500;6;83,33;19/5/2016;23.00;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Soltero;30/9/1992;P;18096606;0;--Seleccione Tipo Empleo--;4585;3000;27;125;14/6/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Masculino;Soltero;23/9/1985;P;18096604;0;--Seleccione Tipo Empleo--;5841;4000;33;126,13;26/9/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Casado;15/12/1969;P;18096708;0;Independiente;3226;650;11;59,09;9/10/2016;24.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;42000;0;120;176;0
Masculino;Casado;10/3/1948;P;18095001;1;--Seleccione Tipo Empleo--;184;3500;30;116,67;5/5/2011;22.44;Consumo;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Divorciado;13/1/1990;U;18015508;1;--Seleccione Tipo Empleo--;1411;5000;30;166,67;11/4/2014;21.50;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Casado;24/9/1976;P;18096801;3;Independiente;7544;18000;42;472,78;10/5/2021;19.50;Microcrédito;180;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;118500;43600,09;5568;4199,34;1
Femenino;Casado;16/3/1994;P;18096605;3;Independiente;1418;300;7;42,86;13/4/2014;22.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;6000;2;855;180;1
Femenino;Casado;3/3/1966;S;18095001;0;Independiente;4253;1000;12;83,33;31/1/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;115500;0,01;3000;230;0
Masculino;Casado;12/3/1972;P;18096801;1;Empleado Privado;1206;8000;1;8000;9/12/2013;21.50;Microcrédito;0;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;278000;11010,57;1800;3726,4;0
Masculino;Casado;8/4/1968;P;18096701;2;--Seleccione Tipo Empleo--;1181;2000;20;100;22/11/2013;22.50;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;0;0;0;0;1
Masculino;Soltero;12/9/1999;P;18015808;0;--Seleccione Tipo Empleo--;4978;500;8;62,5;25/11/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Casado;11/10/1973;P;18096801;0;--Seleccione Tipo Empleo--;1492;2000;24;83,33;25/5/2014;22.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Casado;6/8/1990;U;18010324;0;Empleado Privado;3266;1500;11;136,36;31/10/2016;23.00;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;33500;22319,84;1660;1236;1
Masculino;Casado;6/1/1965;P;18095003;2;Independiente;4108;2000;24;83,33;22/11/2017;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;52000;5492,04;1120;726,88;0
Masculino;Soltero;27/1/1999;S;18095002;0;--Seleccione Tipo Empleo--;4369;1500;12;125;18/3/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Casado;3/2/1975;P;18015504;2;Independiente;7656;3500;30;149,97;14/6/2021;19.75;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;18500;13937,01;1600;692;0
Masculino;Casado;21/8/1965;P;18010804;1;Empleado Privado;8145;6900;36;191,7;26/12/2021;19.75;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;29000;5000;1080;582;0
Masculino;Casado;26/6/1943;P;18096302;0;--Seleccione Tipo Empleo--;136;333,33;6;55,56;10/5/2011;22.44;Consumo;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Casado;7/9/1979;P;18096802;0;Independiente;7636;5000;36;187,19;8/6/2021;19.75;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;42550;0;1533,17;593,03;0
Femenino;Casado;1/1/1991;S;18096801;1;--Seleccione Tipo Empleo--;5442;2000;26;107,19;19/5/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Unión Libre;9/8/1987;P;18096701;0;Independiente;3523;400;6;66,67;19/2/2017;23.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;40000;4650,39;1433,33;646,67;0
Masculino;Divorciado;19/8/1969;P;18096101;0;Independiente;2092;7000;36;194,44;8/3/2015;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;9800;0;1053;470,6;0
Masculino;Casado;15/12/1974;S;18095008;3;Independiente;5875;5000;30;209,78;15/10/2019;21.50;Microcrédito;0;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;80200;18592;2900;2113;0
Femenino;Casado;24/3/1962;P;18096701;0;Independiente;7832;4000;30;171,12;20/8/2021;19.75;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;91700;10957,7;1382;1036,65;0
Femenino;Casado;6/1/1965;N;18095006;0;Independiente;3787;400;3;133,33;16/6/2017;23.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA HIPOTECADA;110000;25000;1360;1355;0
Masculino;Unión Libre;28/7/1988;S;18016515;0;--Seleccione Tipo Empleo--;2942;500;10;50;8/6/2016;23.00;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Casado;12/6/1967;P;18015503;0;Independiente;6787;9184,25;48;317,9;24/9/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;38500;1;924;590,99;1
Femenino;Casado;31/3/1972;P;18015501;1;--Seleccione Tipo Empleo--;422;4000;33;121,21;11/3/2012;22.44;Consumo;280;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Soltero;18/11/1973;P;18096707;0;Independiente;532;2000;20;100;23/5/2012;22.44;Microcrédito;140;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;14000;2000;1523;335,88;0
Femenino;Casado;31/10/1987;P;18097004;2;--Seleccione Tipo Empleo--;3993;10000;36;277,78;8/9/2017;21.00;Microcrédito;425;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Masculino;Soltero;2/7/1987;P;18096206;1;Empleado Privado;9182;1500;12;139,33;16/10/2022;19.97;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;11000;0;595,33;295;0
Masculino;Casado;25/1/1971;P;18096606;0;--Seleccione Tipo Empleo--;7516;3000;24;150,07;5/5/2021;17.65;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Casado;1/12/1987;P;18015507;2;--Seleccione Tipo Empleo--;2366;2300;12;191,67;4/8/2015;20.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Casado;22/9/1979;P;18015503;0;Independiente;4284;5000;12;416,67;11/2/2018;21.50;Microcrédito;150;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;131000;16984,66;2600;1276,16;0
Femenino;Unión Libre;14/7/1992;S;18096208;2;Independiente;4813;2000;24;83,33;13/9/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;25000;13000;450;655;0
Masculino;Soltero;22/9/1989;S;18096604;0;--Seleccione Tipo Empleo--;5886;800;12;66,67;16/10/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Divorciado;7/9/1971;P;18096208;0;Empleado Privado;4425;1000;12;83,33;20/4/2018;21.50;Microcrédito;0;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;3500;1;676;445,74;0
Femenino;Viudo;18/9/1973;P;18096702;0;Independiente;10103;8000;36;324,45;28/7/2023;19.97;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;51500;7467,87;1196,33;703,07;1
Femenino;Casado;5/12/1976;P;18096305;0;Independiente;8605;2500;24;118,71;15/5/2022;19.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;13750;0;2844;2335,2;0
Femenino;Casado;9/12/1956;P;18096801;0;Independiente;1117;700;11;63,64;7/10/2013;22.50;Microcrédito;0;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;71200;21745,84;3705;1872,73;0
Masculino;Casado;15/4/1981;S;18015511;0;--Seleccione Tipo Empleo--;468;10000;48;208,33;11/4/2012;22.44;Consumo;700;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Casado;8/8/1983;P;18096504;0;Independiente;751;530;12;44,17;7/1/2013;23.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;43500;1;450;380;0
Masculino;Casado;26/2/1989;P;18096502;0;--Seleccione Tipo Empleo--;1021;600;4;150;7/7/2013;22.50;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Divorciado;9/7/1970;P;18096605;0;Independiente;4777;1000;12;83,33;1/9/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;83500;27573,42;2464;1089,92;0
Masculino;Soltero;23/7/1994;S;18096102;0;--Seleccione Tipo Empleo--;5013;5000;30;166,67;9/12/2018;21.50;Microcrédito;120;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Divorciado;3/10/1967;P;18095004;0;Independiente;1057;6200;24;258,33;9/8/2013;21.50;Microcrédito;0;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;58200;13833,46;2158,33;1318,09;0
Masculino;Casado;1/2/1972;P;18096604;0;Empleado Publico;1515;5000;30;166,67;4/6/2014;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;75500;7000;761;310;0
Femenino;Casado;3/12/1956;P;18096901;0;Independiente;3856;700;12;58,33;18/7/2017;23.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;20375;0,01;1080;408;0
Masculino;Casado;15/10/1978;S;18095006;1;--Seleccione Tipo Empleo--;2267;1500;10;150;16/6/2015;20.00;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Soltero;7/7/2001;S;18096404;0;Independiente;5932;1100;16;92,83;30/10/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Divorciado;29/4/1991;U;17011901;0;Empleado Privado;8880;1500;12;140,23;31/7/2022;20.09;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;5000;0,01;635;263;0
Masculino;Unión Libre;26/9/1992;S;18096802;0;Independiente;5141;13000;44;452,55;11/2/2019;20.50;Microcrédito;230,5;Ordinario Cuota Fija;VIVE CON FAMILIARES;42843,61;20612,15;3520;2713,33;1
Femenino;Divorciado;3/2/1977;S;18095102;3;--Seleccione Tipo Empleo--;3893;8500;28;303,57;29/7/2017;10.60;Inmobiliario;361,25;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Masculino;Soltero;11/4/1994;P;18035006;0;Empleado Privado;7031;6400;36;251,41;3/12/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;63500;3000;1200;195;1
Femenino;Divorciado;20/11/1956;P;18096706;0;Independiente;6848;3605,08;36;143,61;10/10/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;11200;380;520;382;1
Femenino;Casado;13/11/1955;P;18097004;0;Independiente;5636;3000;24;157,7;22/7/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;30000;0;400;332;0
Masculino;Soltero;1/2/1995;S;18016601;0;Empleado Privado;1575;350;6;58,33;3/7/2014;22.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;600;288;0
Masculino;Viudo;5/7/1965;P;18015501;0;Independiente;3923;6000;36;166,67;15/8/2017;21.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;0;0;0;0;1
Masculino;Soltero;12/2/1978;S;18015510;0;--Seleccione Tipo Empleo--;3007;10000;24;416,67;30/6/2016;21.00;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Soltero;15/5/1960;S;18010303;0;--Seleccione Tipo Empleo--;3371;600;12;50;16/12/2016;24.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Casado;2/8/1996;P;18096605;0;Empleado Privado;3926;2000;18;111,11;16/8/2017;21.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;26200;9918,57;1151;889,42;1
Femenino;Casado;2/7/1983;P;18096304;2;--Seleccione Tipo Empleo--;5051;3000;18;166,67;23/12/2018;21.50;Microcrédito;68;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Casado;5/5/1962;N;18096606;0;Independiente;6043;600;6;100;4/12/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;64100;2794,22;760,67;514,78;0
Femenino;Soltero;4/6/1959;P;18096403;0;Independiente;4881;5000;32;166,67;12/10/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA HIPOTECADA;31400;16636,9;984;683,2;0
Masculino;Unión Libre;17/7/2000;P;18095012;0;Independiente;9481;1200;12;101,69;22/1/2023;19.97;Microcrédito;0;Ordinario Cuota Fija;PRESTADA;14000;10440,5;950;556,05;0
Masculino;Casado;3/6/1982;P;18096306;1;Empleado Privado;259;1594,85;19;83,94;28/6/2011;22.44;Microcrédito;0;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;22500;1000;900;483,2;1
Masculino;Casado;30/1/1967;S;18015601;0;Independiente;3075;10000;36;277,78;25/7/2016;21.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;0;0;1500;555;0
Masculino;Soltero;3/11/1996;U;18096404;1;Empleado Privado;9014;3500;19;211,01;6/9/2022;15.56;Consumo;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;68500;44028,87;3900;1615,06;0
Masculino;Soltero;26/12/1984;P;18045002;2;Empleado Privado;6956;4000;36;152,87;10/11/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;11000;11978,52;0;933,62;0
Femenino;Casado;27/6/1966;S;18015506;0;Independiente;9317;6600;36;159,79;28/11/2022;19.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;68500;22580;3956;3146,78;0
Femenino;Casado;2/1/1978;S;18095008;3;Independiente;5246;5000;35;209,74;18/3/2019;21.50;Microcrédito;120;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;180000;41746,03;4500;3989,8;1
Masculino;Soltero;24/6/1995;U;18035018;0;Empleado Privado;4598;1000;12;83,33;19/6/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;5000;0;700;220;0
Masculino;Soltero;1/1/1992;S;18095015;0;--Seleccione Tipo Empleo--;7270;600;6;106,23;1/3/2021;20.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Casado;2/8/1987;P;18097004;0;Empleado Privado;3783;3000;24;125;15/6/2017;21.00;Microcrédito;90;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;80500;36111,08;3360;2652;0
Femenino;Casado;29/7/1975;P;18096302;0;Independiente;2803;1000;12;83,33;17/4/2016;23.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;49563,79;30367,73;3125;1653,21;0
Masculino;Soltero;7/10/1976;U;18070102;1;--Seleccione Tipo Empleo--;3536;2000;9;222,22;23/2/2017;21.00;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Casado;31/12/1988;P;18096803;0;Independiente;4509;10000;48;208,33;17/5/2018;21.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;13500;10;1200;250;0
Masculino;Casado;12/9/1950;P;18065203;0;--Seleccione Tipo Empleo--;4814;2000;18;129,37;13/9/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Casado;9/4/1986;N;18096306;1;Independiente;14;666,67;8;83,33;27/4/2011;20.04;Consumo;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;26000;18541;1150;350;0
Masculino;Casado;24/12/1990;P;18096606;1;--Seleccione Tipo Empleo--;4511;600;12;50;17/5/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Divorciado;9/7/1970;P;18096605;0;Independiente;2618;400;8;50;28/12/2015;20.75;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;83500;27573,42;2464;1089,92;0
Femenino;Casado;18/3/1986;S;18015502;0;Independiente;3761;3000;24;125;7/6/2017;21.00;Microcrédito;90;Ordinario Cuota Fija;VIVE CON FAMILIARES;6500;0;400;656,04;0
Masculino;Casado;1/8/1996;S;18096207;0;Independiente;5480;1500;6;250;1/6/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;12000;50;1232;517,2;0
Femenino;Casado;14/7/1993;S;18096102;2;Independiente;7855;600;12;55,67;27/8/2021;19.75;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;43000;10888;1150;908,8;0
Femenino;Soltero;16/11/1986;S;18010503;1;--Seleccione Tipo Empleo--;980;2000;1;2000;4/6/2013;22.50;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Casado;10/7/1992;U;18096101;1;Empleado Privado;5510;5000;30;166,67;9/6/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;41300;18844,95;1630;972,12;0
Femenino;Divorciado;1/3/1976;U;18010502;3;--Seleccione Tipo Empleo--;3815;2000;12;166,67;6/7/2017;21.00;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Viudo;9/6/1962;N;18096501;1;--Seleccione Tipo Empleo--;3058;800;11;72,73;20/7/2016;23.00;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Casado;12/2/1995;S;18096601;1;Empleado Privado;2652;500;8;62,5;24/1/2016;21.00;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Soltero;16/8/1994;U;18096502;0;Empleado Publico;2651;3500;26;134,62;22/1/2016;20.50;Microcrédito;166,25;Ordinario Cuota Fija;PROPIA HIPOTECADA;3000;10000;827;555;0
Masculino;Casado;18/7/1985;P;18095004;0;Independiente;4950;4000;32;180,36;14/11/2018;21.50;Microcrédito;94;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;84200;8605,04;3750;2797,87;0
Femenino;Casado;4/10/1984;P;18096302;0;Independiente;4176;6200;36;172,22;19/12/2017;21.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;18800;1;726;357,2;0
